"OSVersion","Article","Published","Title","Warn"
"2008","KB5034173","2024-01-09","January 9, 2024-KB5034173 (Monthly Rollup)","Yes"
"2008R2","KB4048957","2017-11-14","November 14, 2017-KB4048957 (Monthly Rollup)"
"2008R2","KB4048960","2017-11-14","November 14, 2017-KB4048960 (Security-only update)"
"2008R2","KB4041686","2017-10-17","October 17, 2017-KB4041686 (Preview of Monthly Rollup)"
"2008R2","KB4041681","2017-10-10","October 10, 2017-KB4041681 (Monthly Rollup)"
"2008R2","KB4041678","2017-10-10","October 10, 2017-KB4041678 (Security-only update)"
"2008R2","KB4038803","2017-09-19","September 19, 2017-KB4038803 (Preview of Monthly Rollup)"
"2008R2","KB4038777","2017-09-12","September 12, 2017-KB4038777 (Monthly Rollup)"
"2008R2","KB4038779","2017-09-12","September 12, 2017-KB4038779 (Security-only update)"
"2008R2","KB4034670","2017-08-15","August 15, 2017-KB4034670 (OS Build Preview of Monthly Rollup)"
"2008R2","KB4034664","2017-08-08","August 8, 2017-KB4034664 (OS Build Monthly Rollup)"
"2008R2","KB4034679","2017-08-08","August 8, 2017-KB4034679 (OS Build Security-only update)"
"2008R2","KB4025340","2017-07-18","July 18, 2017-KB4025340"
"2008R2","KB4025341","2017-07-11","July 11, 2017-KB4025341"
"2008R2","KB4025337","2017-07-11","July 11, 2017-KB4025337"
"2008R2","KB4022168","2017-06-27","June 27, 2017-KB4022168 (Preview of Monthly Rollup)"
"2008R2","KB4022719","2017-06-13","June 13, 2017-KB4022719 (Monthly Rollup)"
"2008R2","KB4022722","2017-06-13","June 13, 2017-KB4022722 (Security-only update)"
"2008R2","KB4019265","2017-05-16","May 16, 2017-KB4019265 (Preview of Monthly Rollup)"
"2008R2","KB4019264","2017-05-09","May 9, 2017-KB4019264 (Monthly Rollup)"
"2008R2","KB4019263","2017-05-09","May 9, 2017-KB4019263 (Security-only update)"
"2008R2","KB4015552","2017-04-18","April 18, 2017-KB4015552 (Preview of Monthly Rollup)"
"2008R2","KB4015546","2017-04-11","April 11, 2017-KB4015546 (Security-only update)"
"2008R2","KB4015549","2017-04-11","April 11, 2017-KB4015549 (Monthly Rollup)"
"2008R2","KB4016780","2017-03-21","March 21, 2017-KB4012218 (Preview of Monthly Rollup)"
"2008R2","KB4011466","2017-03-14","March 14, 2017-KB4012215 (Monthly Rollup)"
"2008R2","KB4009975","2017-03-14","March 14, 2017-KB4012212 (Security-only Update)"
"2008R2","KB4009971","2017-01-10","January 10, 2017-KB3212646 (Monthly Rollup)"
"2008R2","KB4009972","2017-01-10","January 10, 2017-KB3212642 (Security-only update)"
"2008R2","KB4009409","2016-12-13","December 13, 2016 - KB3207752 (Monthly Rollup)"
"2008R2","KB4009431","2016-12-13","December 13, 2016 - KB3205394 (Security-only update)"
"2008R2","KB4009432","2016-11-15","November 15, 2016 - KB3197869 (Preview of Monthly Rollup)"
"2008R2","KB4009433","2016-11-08","November 8, 2016 - KB3197867 (Security-only update)"
"2008R2","KB4009434","2016-11-08","November 8, 2016 - KB3197868 (Monthly Rollup)"
"2008R2","KB4009435","2016-10-18","October 18, 2016 - KB3192403 (Preview of Monthly Rollup)"
"2008R2","KB4009436","2016-10-11","October 11, 2016 - KB3192391 (Security only update)"
"2008R2","KB4009437","2016-10-11","October 11, 2016 - KB3185330 (Monthly rollup)"
"2008R2","KB4009438","2016-09-20","September 20, 2016 - KB3185278"
"2008R2","KB4009439","2016-08-16","August 16, 2016 - KB3179573"
"2008R2","KB4009440","2016-07-21","July 21, 2016 - KB3172605"

"2012","KB5034830","2024-02-13","February 13, 2024-KB5034830 (Monthly Rollup)","Yes"
"2012","KB5034184","2024-01-09","January 9, 2024-KB5034184 (Monthly Rollup)"
"2012","KB5033429","2023-12-12","December 12, 2023-KB5033429 (Monthly Rollup)"
"2012","KB5032247","2023-11-14","November 14, 2023-KB5032247 (Monthly Rollup)"
"2012","KB5031442","2023-10-10","October 10, 2023-KB5031442 (Monthly Rollup)"
"2012","KB5030278","2023-09-12","September 12, 2023-KB5030278 (Monthly Rollup)"
"2012","KB5029295","2023-08-08","August 8, 2023-KB5029295 (Monthly Rollup)"
"2012","KB5029308","2023-08-08","August 8, 2023-KB5029308 (Security-only update)"
"2012","KB5028232","2023-07-11","July 11, 2023-KB5028232 (Monthly Rollup)"
"2012","KB5028233","2023-07-11","July 11, 2023-KB5028233 (Security-only update)"
"2012","KB5027283","2023-06-13","June 13, 2023-KB5027283 (Monthly Rollup)"
"2012","KB5027281","2023-06-13","June 13, 2023-KB5027281 (Security-only update)"
"2012","KB5026419","2023-05-09","May 9, 2023-KB5026419 (Monthly Rollup)"
"2012","KB5026411","2023-05-09","May 9, 2023-KB5026411 (Security-only update)"
"2012","KB5025287","2023-04-11","April 11, 2023-KB5025287 (Monthly Rollup)"
"2012","KB5025272","2023-04-11","April 11, 2023-KB5025272 (Security-only update)"
"2012","KB5023756","2023-03-14","March 14, 2023-KB5023756 (Monthly Rollup)"
"2012","KB5023752","2023-03-14","March 14, 2023-KB5023752 (Security-only update)"
"2012","KB5022903","2023-02-14","February 14, 2023-KB5022903 (Monthly Rollup)"
"2012","KB5022895","2023-02-14","February 14, 2023-KB5022895 (Security-only update)"
"2012","KB5022348","2023-01-10","January 10, 2023-KB5022348 (Monthly Rollup)"
"2012","KB5022343","2023-01-10","January 10, 2023-KB5022343 (Security-only update)"
"2012","KB5021285","2022-12-13","December 13, 2022-KB5021285 (Monthly Rollup)"
"2012","KB5021303","2022-12-13","December 13, 2022-KB5021303 (Security-only update)"
"2012","KB5021652","2022-11-17","2012","KB5021652: Out-of-band update for Windows Server 2012: November 17, 2022"
"2012","KB5020009","2022-11-08","November 8, 2022-KB5020009 (Monthly Rollup)"
"2012","KB5020003","2022-11-08","November 8, 2022-KB5020003 (Security-only update)"
"2012","KB5018457","2022-10-11","October 11, 2022-KB5018457 (Monthly Rollup)"
"2012","KB5018478","2022-10-11","October 11, 2022-KB5018478 (Security-only update)"
"2012","KB5017370","2022-09-13","September 13, 2022-KB5017370 (Monthly Rollup)"
"2012","KB5017377","2022-09-13","September 13, 2022-KB5017377 (Security-only update)"
"2012","KB5016672","2022-08-09","August 9, 2022-KB5016672 (Monthly Rollup)"
"2012","KB5016684","2022-08-09","August 9, 2022-KB5016684 (Security-only update)"
"2012","KB5015863","2022-07-12","July 12, 2022-KB5015863 (Monthly Rollup)"
"2012","KB5015875","2022-07-12","July 12, 2022-KB5015875 (Security-only update)"
"2012","KB5014747","2022-06-14","June 14, 2022-KB5014747 (Monthly Rollup)"
"2012","KB5014741","2022-06-14","June 14, 2022-KB5014741 (Security-only update)"
"2012","KB5014991","2022-05-10","2012","KB5014991: Authentication failures occur after the May 10, 2022 update is installed on domain controllers running Windows Server 2012"
"2012","KB5014017","2022-05-10","May 10, 2022-KB5014017 (Monthly Rollup)"
"2012","KB5014018","2022-05-10","May 10, 2022-KB5014018 (Security-only update)"
"2012","KB5012650","2022-04-12","April 12, 2022-KB5012650 (Monthly Rollup)"
"2012","KB5012666","2022-04-12","April 12, 2022-KB5012666 (Security-only update)"
"2012","KB5011535","2022-03-08","March 8, 2022-KB5011535 (Monthly Rollup)"
"2012","KB5011527","2022-03-08","March 8, 2022-KB5011527 (Security-only update)"
"2012","KB5010392","2022-02-08","February 8, 2022-KB5010392 (Monthly Rollup)"
"2012","KB5010412","2022-02-08","February 8, 2022-KB5010412 (Security-only update)"
"2012","KB5010797","2022-01-17","2012","KB5010797: Out-of-band update for Windows Server 2012: January 17, 2022"
"2012","KB5009586","2022-01-11","January 11, 2022-KB5009586 (Monthly Rollup)"
"2012","KB5009619","2022-01-11","January 11, 2022-KB5009619 (Security-only update)"
"2012","KB5008277","2021-12-14","December 14, 2021-KB5008277 (Monthly Rollup)"
"2012","KB5008255","2021-12-14","December 14, 2021-KB5008255 (Security-only update)"
"2012","KB5007260","2021-11-09","November 9, 2021-KB5007260 (Monthly Rollup)"
"2012","KB5007245","2021-11-09","November 9, 2021-KB5007245 (Security-only update)"
"2012","KB5006739","2021-10-12","October 12, 2021-KB5006739 (Monthly Rollup)"
"2012","KB5006732","2021-10-12","October 12, 2021-KB5006732 (Security-only update)"
"2012","KB5005623","2021-09-14","September 14, 2021-KB5005623 (Monthly Rollup)"
"2012","KB5005607","2021-09-14","September 14, 2021-KB5005607 (Security-only update)"
"2012","KB5005099","2021-08-10","August 10, 2021-KB5005099 (Monthly Rollup)"
"2012","KB5005094","2021-08-10","August 10, 2021-KB5005094 (Security-only update)"
"2012","KB5004294","2021-07-13","July 13, 2021-KB5004294 (Monthly Rollup)"
"2012","KB5004302","2021-07-13","July 13, 2021-KB5004302 (Security-only update)"
"2012","KB5004956","2021-07-07","July 7, 2021-KB5004956 (Monthly Rollup) Out-of-band"
"2012","KB5004960","2021-07-07","July 7, 2021-KB5004960 (Security-only update) Out-of-band"
"2012","KB5003697","2021-06-08","June 8, 2021-KB5003697 (Monthly Rollup)"
"2012","KB5003696","2021-06-08","June 8, 2021-KB5003696 (Security-only update)"
"2012","KB5003208","2021-05-11","May 11, 2021-KB5003208 (Monthly Rollup)"
"2012","KB5003203","2021-05-11","May 11, 2021-KB5003203 (Security-only update)"
"2012","KB5001387","2021-04-13","April 13, 2021-KB5001387 (Monthly Rollup)"
"2012","KB5001383","2021-04-13","April 13, 2021-KB5001383 (Security-only update)"
"2012","KB5000847","2021-03-09","March 9, 2021-KB5000847 (Monthly Rollup)"
"2012","KB5000840","2021-03-09","March 9, 2021-KB5000840 (Security-only update)"
"2012","KB4601348","2021-02-09","February 9, 2021-KB4601348 (Monthly Rollup)"
"2012","KB4601357","2021-02-09","February 9, 2021-KB4601357 (Security-only update)"
"2012","KB4598297","2021-01-12","January 12, 2021-KB4598297 (Security-only update)"
"2012","KB4598278","2021-01-12","January 12, 2021-KB4598278 (Monthly Rollup)"
"2012","KB4592497","2020-12-08","December 8, 2020-KB4592497 (Security-only update)"
"2012","KB4592468","2020-12-08","December 8, 2020-KB4592468 (Monthly Rollup)"
"2012","KB4586808","2020-11-10","November 10, 2020-KB4586808 (Security-only update)"
"2012","KB4586834","2020-11-10","November 10, 2020-KB4586834 (Monthly Rollup)"
"2012","KB4580382","2020-10-13","October 13, 2020-KB4580382 (Monthly Rollup)"
"2012","KB4580353","2020-10-13","October 13, 2020-KB4580353 (Security-only update)"
"2012","KB4577038","2020-09-08","September 8, 2020-KB4577038 (Monthly Rollup)"
"2012","KB4577048","2020-09-08","September 8, 2020-KB4577048 (Security-only update)"
"2012","KB4571702","2020-08-11","August 11, 2020-KB4571702 (Security-only update)"
"2012","KB4571736","2020-08-11","August 11, 2020-KB4571736 (Monthly Rollup)"
"2012","KB4565537","2020-07-14","July 14, 2020-KB4565537 (Monthly Rollup)"
"2012","KB4565535","2020-07-14","July 14, 2020-KB4565535 (Security-only update)"
"2012","KB4561612","2020-06-09","June 9, 2020-KB4561612 (Monthly Rollup)"
"2012","KB4561674","2020-06-09","June 9, 2020-KB4561674 (Security-only update)"
"2012","KB4556852","2020-05-12","May 12, 2020-KB4556852 (Security-only update)"
"2012","KB4556840","2020-05-12","May 12, 2020-KB4556840 (Monthly Rollup)"
"2012","KB4550960","2020-04-21","April 21, 2020-KB4550960 (Preview of Monthly Rollup)"
"2012","KB4550917","2020-04-14","April 14, 2020-KB4550917 (Monthly Rollup)"
"2012","KB4550971","2020-04-14","April 14, 2020-KB4550971 (Security-only update)"
"2012","KB4541332","2020-03-17","March 17, 2020-KB4541332 (Preview of Monthly Rollup)"
"2012","KB4541510","2020-03-10","March 10, 2020-KB4541510 (Monthly Rollup)"
"2012","KB4540694","2020-03-10","March 10, 2020-KB4540694 (Security-only update)"
"2012","KB4537807","2020-02-25","February 25, 2020-KB4537807 (Preview of Monthly Rollup)"
"2012","KB4537814","2020-02-11","February 11, 2020-KB4537814 (Monthly Rollup)"
"2012","KB4537794","2020-02-11","February 11, 2020-KB4537794 (Security-only update)"
"2012","KB4534320","2020-01-23","January 23, 2020-KB4534320 (Preview of Monthly Rollup)"
"2012","KB4534288","2020-01-14","January 14, 2020-KB4534288 (Security-only update)"
"2012","KB4534283","2020-01-14","January 14, 2020-KB4534283 (Monthly Rollup)"
"2012","KB4530691","2019-12-10","December 10, 2019-KB4530691 (Monthly Rollup)"
"2012","KB4530698","2019-12-10","December 10, 2019-KB4530698 (Security-only update)"
"2012","KB4525242","2019-11-19","November 19, 2019-KB4525242 (Preview of Monthly Rollup)"
"2012","KB4525246","2019-11-12","November 12, 2019-KB4525246 (Monthly Rollup)"
"2012","KB4525253","2019-11-12","November 12, 2019-KB4525253 (Security-only update)"
"2012","KB4520013","2019-10-15","October 15, 2019-KB4520013 (Preview of Monthly Rollup)"
"2012","KB4520007","2019-10-08","October 8, 2019-KB4520007 (Monthly Rollup)"
"2012","KB4519985","2019-10-08","October 8, 2019-KB4519985 (Security-only update)"
"2012","KB4524154","2019-10-03","October 3, 2019-KB4524154 (Monthly Rollup)"
"2012","KB4516069","2019-09-24","September 24, 2019-KB4516069 (Preview of Monthly Rollup)"
"2012","KB4516062","2019-09-10","September 10, 2019-KB4516062 (Security-only update)"
"2012","KB4516055","2019-09-10","September 10, 2019-KB4516055 (Monthly Rollup)"
"2012","KB4512512","2019-08-17","August 17, 2019-KB4512512 (Preview of Monthly Rollup)"
"2012","KB4512482","2019-08-13","August 13, 2019-KB4512482 (Security-only update)"
"2012","KB4512518","2019-08-13","August 13, 2019-KB4512518 (Monthly Rollup)"
"2012","KB4507447","2019-07-16","July 16, 2019-KB4507447 (Preview of Monthly Rollup)"
"2012","KB4507462","2019-07-09","July 9, 2019-KB4507462 (Monthly Rollup)"
"2012","KB4507464","2019-07-09","July 9, 2019-KB4507464 (Security-only update)"
"2012","KB4503295","2019-06-21","June 21, 2019-KB4503295 (Preview of Monthly Rollup)"
"2012","KB4503285","2019-06-11","June 11, 2019-KB4503285 (Monthly Rollup)"
"2012","KB4503263","2019-06-11","June 11, 2019-KB4503263 (Security-only update)"
"2012","KB4499145","2019-05-23","May 23, 2019-KB4499145 (Preview of Monthly Rollup)"
"2012","KB4499158","2019-05-14","May 14, 2019-KB4499158 (Security-only update)"
"2012","KB4499171","2019-05-14","May 14, 2019-KB4499171 (Monthly Rollup)"
"2012","KB4493462","2019-04-25","April 25, 2019-KB4493462 (Preview of Monthly Rollup)"
"2012","KB4493451","2019-04-09","April 9, 2019-KB4493451 (Monthly Rollup)"
"2012","KB4493450","2019-04-09","April 9, 2019-KB4493450 (Security-only update)"
"2012","KB4489920","2019-03-19","March 19, 2019-KB4489920 (Preview of Monthly Rollup)"
"2012","KB4489891","2019-03-12","March 12, 2019-KB4489891 (Monthly Rollup)"
"2012","KB4489884","2019-03-12","March 12, 2019-KB4489884 (Security-only update)"
"2012","KB4487024","2019-02-19","February 19, 2019-KB4487024 (Preview of Monthly Rollup)"
"2012","KB4486993","2019-02-12","February 12, 2019-KB4486993 (Security-only update)"
"2012","KB4487025","2019-02-12","February 12, 2019-KB4487025 (Monthly Rollup)"
"2012","KB4480971","2019-01-15","January 15, 2019-KB4480971 (Preview of Monthly Rollup)"
"2012","KB4480975","2019-01-08","January 8, 2019-KB4480975 (Monthly Rollup)"
"2012","KB4480972","2019-01-08","January 8, 2019-KB4480972 (Security-only update)"
"2012","KB4471330","2018-12-11","December 11, 2018-KB4471330 (Monthly Rollup)"
"2012","KB4471326","2018-12-11","December 11, 2018-KB4471326 (Security-only update)"
"2012","KB4467683","2018-11-27","November 27, 2018-KB4467683 (Preview of Monthly Rollup)"
"2012","KB4467701","2018-11-13","November 13, 2018-KB4467701 (Monthly Rollup)"
"2012","KB4467678","2018-11-13","November 13, 2018-KB4467678 (Security-only update)"
"2012","KB4462925","2018-10-18","October 18, 2018-KB4462925 (Preview of Monthly Rollup)"
"2012","KB4462929","2018-10-09","October 9, 2018-KB4462929 (Monthly Rollup)"
"2012","KB4462931","2018-10-09","October 9, 2018-KB4462931 (Security-only update)"
"2012","KB4457134","2018-09-20","September 20, 2018-KB4457134 (Preview of Monthly Rollup)"
"2012","KB4457135","2018-09-11","September 11, 2018-KB4457135 (Monthly Rollup)"
"2012","KB4457140","2018-09-11","September 11, 2018-KB4457140 (Security-only update)"
"2012","KB4343895","2018-08-30","August 30, 2018-KB4343895 (Preview of Monthly Rollup)"
"2012","KB4343901","2018-08-14","August 14, 2018-KB4343901 (Monthly Rollup)"
"2012","KB4343896","2018-08-14","August 14, 2018-KB4343896 (Security-only update)"
"2012","KB4338816","2018-07-18","July 18, 2018-KB4338816 (Preview of Monthly Rollup)"
"2012","KB4338830","2018-07-10","July 10, 2018-KB4338830 (Monthly Rollup)"
"2012","KB4338820","2018-07-10","July 10, 2018-KB4338820 (Security-only update)"
"2012","KB4284852","2018-06-21","June 21, 2018-KB4284852 (Preview of Monthly Rollup)"
"2012","KB4284855","2018-06-12","June 12, 2018-KB4284855 (Monthly Rollup)"
"2012","KB4284846","2018-06-12","June 12, 2018-KB4284846 (Security-only update)"
"2012","KB4103719","2018-05-17","May 17, 2018-KB4103719 (Preview of Monthly Rollup)"
"2012","KB4103730","2018-05-08","May 8, 2018-KB4103730 (Monthly Rollup)"
"2012","KB4103726","2018-05-08","May 8, 2018-KB4103726 (Security-only update)"
"2012","KB4093116","2018-04-17","April 17, 2018-KB4093116 (Preview of Monthly Rollup)"
"2012","KB4093123","2018-04-10","April 10, 2018-KB4093123 (Monthly Rollup)"
"2012","KB4093122","2018-04-10","April 10, 2018-KB4093122 (Security-only update)"
"2012","KB4088883","2018-03-22","March 22, 2018-KB4088883 (Preview of Monthly Rollup)"
"2012","KB4088877","2018-03-13","March 13, 2018-KB4088877 (Monthly Rollup)"
"2012","KB4088880","2018-03-13","March 13, 2018-KB4088880 (Security-only update)"
"2012","KB4075213","2018-02-22","February 22, 2018-KB4075213 (Preview of Monthly Rollup)"
"2012","KB4074593","2018-02-13","February 13, 2018-KB4074593 (Monthly Rollup)"
"2012","KB4074589","2018-02-13","February 13, 2018-KB4074589 (Security-only update)"
"2012","KB4057402","2018-01-17","January 17, 2018-KB4057402 (Preview of Monthly Rollup)"
"2012","KB4056896","2018-01-04","January 4, 2018-KB4056896 (Monthly Rollup)"
"2012","KB4056899","2018-01-03","January 3, 2018-KB4056899 (Security-only update)"
"2012","KB4054520","2017-12-12","December 12, 2017-KB4054520 (Monthly Rollup)"
"2012","KB4054523","2017-12-12","December 12, 2017-KB4054523 (Security-only update)"
"2012","KB4050945","2017-11-27","November 27, 2017-KB4050945 (Preview of Monthly Rollup)"
"2012","KB4048959","2017-11-14","November 14, 2017-KB4048959 (Monthly Rollup)"
"2012","KB4048962","2017-11-14","November 14, 2017-KB4048962 (Security-only update)"
"2012","KB4041692","2017-10-17","October 17, 2017-KB4041692 (Preview of Monthly Rollup)"
"2012","KB4041690","2017-10-10","October 10, 2017-KB4041690 (Monthly Rollup)"
"2012","KB4041679","2017-10-10","October 10, 2017-KB4041679 (Security-only update)"
"2012","KB4038797","2017-09-19","September 19, 2017-KB4038797 (Preview of Monthly Rollup)"
"2012","KB4038799","2017-09-12","September 12, 2017-KB4038799 (Monthly Rollup)"
"2012","KB4038786","2017-09-12","September 12, 2017-KB4038786 (Security-only update)"
"2012","KB4034659","2017-08-15","August 15, 2017-KB4034659 (OS Build Preview of Monthly Rollup)"
"2012","KB4034665","2017-08-08","August 8, 2017-KB4034665 (OS Build Monthly Rollup)"
"2012","KB4034666","2017-08-08","August 8, 2017-KB4034666 (OS Build Security-only update)"
"2012","KB4025332","2017-07-18","July 18, 2017-KB4025332"
"2012","KB4025331","2017-07-11","July 11, 2017-KB4025331"
"2012","KB4025343","2017-07-11","July 11, 2017-KB4025343"
"2012","KB4022721","2017-06-27","June 27, 2017-KB4022721"
"2012","KB4022724","2017-06-13","June 13, 2017-KB4022724 (Monthly Rollup)"
"2012","KB4022718","2017-06-13","June 13, 2017-KB4022718 (Security-only update)"
"2012","KB4019218","2017-05-16","May 16, 2017-KB4019218 (Preview of Monthly Rollup)"
"2012","KB4019216","2017-05-09","May 9, 2017-KB4019216 (Monthly Rollup)"
"2012","KB4019214","2017-05-09","May 9, 2017-KB4019214 (Security-only update)"
"2012","KB4015554","2017-04-18","April 18, 2017-KB4015554 (Preview of Monthly Rollup)"
"2012","KB4015551","2017-04-11","April 11, 2017-KB4015551 (Monthly Rollup)"
"2012","KB4015548","2017-04-11","April 11, 2017-KB4015548 (Security-only update)"
"2012","KB4016783","2017-03-21","March 21, 2017-KB4012220 (Preview of Monthly Rollup)"
"2012","KB4009974","2017-03-14","March 14, 2017-KB4012217 (Monthly Rollup)"
"2012","KB4009973","2017-03-14","March 14, 2017-KB4012214 (Security-only update)"
"2012","KB4009452","2016-12-13","December 13, 2016 - KB3205409 (Monthly Rollup)"
"2012","KB4009453","2016-12-13","December 13, 2016 - KB3205408 (Security-only update)"
"2012","KB4009454","2016-11-15","November 15, 2016 - KB3197878 (Preview of Monthly Rollup)"
"2012","KB4009455","2016-11-08","November 8, 2016 - KB3197876 (Security-only update)"
"2012","KB4009456","2016-11-08","November 8, 2016 - KB3197877 (Monthly Rollup)"
"2012","KB4009457","2016-10-18","October 18, 2016 - KB3192406 (Preview of Monthly Rollup)"
"2012","KB4009458","2016-10-11","October 11, 2016 - KB3192393 (Security-only update)"
"2012","KB4009459","2016-10-11","October 11, 2016 - KB3185332 (Monthly Rollup)"
"2012","KB4009460","2016-09-20","September 20, 2016 - KB3185280"
"2012","KB4009461","2016-08-16","August 16, 2016 - KB3179575"
"2012","KB4009462","2016-07-19","July 19, 2016 - KB3172615"

"2012R2","KB5034819","2024-02-13","February 13, 2024-KB5034819 (Monthly Rollup)","Yes"
"2012R2","KB5034171","2024-01-09","January 9, 2024-KB5034171 (Monthly Rollup)"
"2012R2","KB5033420","2023-12-12","December 12, 2023, 2023-KB5033420 (Monthly Rollup)"
"2012R2","KB5032249","2023-11-14","November 14, 2023, 2023-KB5032249 (Monthly Rollup)"
"2012R2","KB5031419","2023-10-10","October 10, 2023-KB5031419 (Monthly Rollup)"
"2012R2","KB5030269","2023-09-12","September 12, 2023-KB5030269 (Monthly Rollup)"
"2012R2","KB5029312","2023-08-08","August 8, 2023-KB5029312 (Monthly Rollup)"
"2012R2","KB5029304","2023-08-08","August 8, 2023-KB5029304 (Security-only update)"
"2012R2","KB5028228","2023-07-11","July 11, 2023-KB5028228 (Monthly Rollup)"
"2012R2","KB5028223","2023-07-11","July 11, 2023-KB5028223 (Security-only update)"
"2012R2","KB5027271","2023-06-13","June 13, 2023-KB5027271 (Monthly Rollup)"
"2012R2","KB5027282","2023-06-13","June 13, 2023-KB5027282 (Security-only update)"
"2012R2","KB5026415","2023-05-09","May 9, 2023-KB5026415 (Monthly Rollup)"
"2012R2","KB5026409","2023-05-09","May 9, 2023-KB5026409 (Security-only update)"
"2012R2","KB5025285","2023-04-11","April 11, 2023-KB5025285 (Monthly Rollup)"
"2012R2","KB5025288","2023-04-11","April 11, 2023-KB5025288 (Security-only update)"
"2012R2","KB5023765","2023-03-14","March 14, 2023-KB5023765 (Monthly Rollup)"
"2012R2","KB5023764","2023-03-14","March 14, 2023-KB5023764 (Security-only update)"
"2012R2","KB5022899","2023-02-14","February 14, 2023-KB5022899 (Monthly Rollup)"
"2012R2","KB5022894","2023-02-14","February 14, 2023-KB5022894 (Security-only update)"
"2012R2","KB5022352","2023-01-10","January 10, 2023-KB5022352 (Monthly Rollup)"
"2012R2","KB5022346","2023-01-10","January 10, 2023-KB5022346 (Security-only update)"
"2012R2","KB5021294","2022-12-13","December 13, 2022-KB5021294 (Monthly Rollup)"
"2012R2","KB5021296","2022-12-13","December 13, 2022-KB5021296 (Security-only update)"
"2012R2","KB5021653","2022-11-17","2012R2","KB5021653: Out-of-band update for Windows Server 2012 R2: November 17, 2022"
"2012R2","KB5020023","2022-11-08","November 8, 2022-KB5020023 (Monthly Rollup)"
"2012R2","KB5020010","2022-11-08","November 8, 2022-KB5020010 (Security-only update)"
"2012R2","KB5018474","2022-10-11","October 11, 2022-KB5018474 (Monthly Rollup)"
"2012R2","KB5018476","2022-10-11","October 11, 2022-KB5018476 (Security-only update)"
"2012R2","KB5017367","2022-09-13","September 13, 2022-KB5017367 (Monthly Rollup)"
"2012R2","KB5017365","2022-09-13","September 13, 2022-KB5017365 (Security-only update)"
"2012R2","KB5016681","2022-08-09","August 9, 2022-KB5016681 (Monthly Rollup)"
"2012R2","KB5016683","2022-08-09","August 9, 2022-KB5016683 (Security-only update)"
"2012R2","KB5015874","2022-07-12","July 12, 2022-KB5015874 (Monthly Rollup)"
"2012R2","KB5015877","2022-07-12","July 12, 2022-KB5015877 (Security-only update)"
"2012R2","KB5014738","2022-06-14","June 14, 2022-KB5014738 (Monthly Rollup)"
"2012R2","KB5014746","2022-06-14","June 14, 2022-KB5014746 (Security-only update)"
"2012R2","KB5014986","2022-05-10","2012R2","KB5014986: Authentication failures occur after the May 10, 2022 update is installed on domain controllers running Windows Server 2012 R2"
"2012R2","KB5014011","2022-05-10","May 10, 2022-KB5014011 (Monthly Rollup)"
"2012R2","KB5014001","2022-05-10","May 10, 2022-KB5014001 (Security-only update)"
"2012R2","KB5012670","2022-04-12","April 12, 2022-KB5012670 (Monthly Rollup)"
"2012R2","KB5012639","2022-04-12","April 12, 2022-KB5012639 (Security-only update)"
"2012R2","KB5011564","2022-03-08","March 8, 2022-KB5011564 (Monthly Rollup)"
"2012R2","KB5011560","2022-03-08","March 8, 2022-KB5011560 (Security-only update)"
"2012R2","KB5010419","2022-02-08","February 8, 2022-KB5010419 (Monthly Rollup)"
"2012R2","KB5010395","2022-02-08","February 8, 2022-KB5010395 (Security-only update)"
"2012R2","KB5010794","2022-01-17","2012R2","KB5010794: Out-of-band update for Windows 8.1 and Windows Server 2012 R2: January 17, 2022"
"2012R2","KB5009624","2022-01-11","January 11, 2022-KB5009624 (Monthly Rollup)"
"2012R2","KB5009595","2022-01-11","January 11, 2022-KB5009595 (Security-only update)"
"2012R2","KB5008263","2021-12-14","December 14, 2021-KB5008263 (Monthly Rollup)"
"2012R2","KB5008285","2021-12-14","December 14, 2021-KB5008285 (Security-only update)"
"2012R2","KB5007247","2021-11-09","November 9, 2021-KB5007247 (Monthly Rollup)"
"2012R2","KB5007255","2021-11-09","November 9, 2021-KB5007255 (Security-only update)"
"2012R2","KB5006714","2021-10-12","October 12, 2021-KB5006714 (Monthly Rollup)"
"2012R2","KB5006729","2021-10-12","October 12, 2021-KB5006729 (Security-only update)"
"2012R2","KB5005613","2021-09-14","September 14, 2021-KB5005613 (Monthly Rollup)"
"2012R2","KB5005627","2021-09-14","September 14, 2021-KB5005627 (Security-only update)"
"2012R2","KB5005076","2021-08-10","August 10, 2021-KB5005076 (Monthly Rollup)"
"2012R2","KB5005106","2021-08-10","August 10, 2021-KB5005106 (Security-only update)"
"2012R2","KB5004298","2021-07-13","July 13, 2021-KB5004298 (Monthly Rollup)"
"2012R2","KB5004285","2021-07-13","July 13, 2021-KB5004285 (Security-only update)"
"2012R2","KB5004954","2021-07-06","July 6, 2021-KB5004954 (Monthly Rollup) Out-of-band"
"2012R2","KB5004958","2021-07-06","July 6, 2021-KB5004958 (Security-only update) Out-of-band"
"2012R2","KB5003671","2021-06-08","June 8, 2021-KB5003671 (Monthly Rollup)"
"2012R2","KB5003681","2021-06-08","June 8, 2021-KB5003681 (Security-only update)"
"2012R2","KB5003209","2021-05-11","May 11, 2021-KB5003209 (Monthly Rollup)"
"2012R2","KB5003220","2021-05-11","May 11, 2021-KB5003220 (Security-only update)"
"2012R2","KB5001382","2021-04-13","April 13, 2021-KB5001382 (Monthly Rollup)"
"2012R2","KB5001393","2021-04-13","April 13, 2021-KB5001393 (Security-only update)"
